Location_Name,Date,TotalCount,Hour,Day,DayNo
Park Street,2025-06-29 01:00:00+00:00,659,1,Sunday,0
Bridge Street,2025-06-29 01:00:00+00:00,179,1,Sunday,0
Market Street,2025-06-29 01:00:00+00:00,42,1,Sunday,0
Elizabeth Street,2025-06-29 01:00:00+00:00,5,1,Sunday,0
Market Street,2025-06-29 00:00:00+00:00,95,0,Sunday,0
Elizabeth Street,2025-06-29 00:00:00+00:00,13,0,Sunday,0
Bridge Street,2025-06-29 00:00:00+00:00,148,0,Sunday,0
Park Street,2025-06-29 00:00:00+00:00,573,0,Sunday,0
Park Street,2025-06-28 23:00:00+00:00,771,23,Saturday,6
Market Street,2025-06-28 23:00:00+00:00,185,23,Saturday,6
Elizabeth Street,2025-06-28 23:00:00+00:00,14,23,Saturday,6
Bridge Street,2025-06-28 23:00:00+00:00,281,23,Saturday,6
Bridge Street,2025-06-28 22:00:00+00:00,308,22,Saturday,6
Elizabeth Street,2025-06-28 22:00:00+00:00,26,22,Saturday,6
Market Street,2025-06-28 22:00:00+00:00,297,22,Saturday,6
Park Street,2025-06-28 22:00:00+00:00,1394,22,Saturday,6
Park Street,2025-06-28 01:00:00+00:00,509,1,Saturday,6
Market Street,2025-06-28 01:00:00+00:00,43,1,Saturday,6
Elizabeth Street,2025-06-28 01:00:00+00:00,3,1,Saturday,6
Bridge Street,2025-06-28 01:00:00+00:00,77,1,Saturday,6
Park Street,2025-06-28 00:00:00+00:00,541,0,Saturday,6
Market Street,2025-06-28 00:00:00+00:00,82,0,Saturday,6
Elizabeth Street,2025-06-28 00:00:00+00:00,7,0,Saturday,6
Bridge Street,2025-06-28 00:00:00+00:00,106,0,Saturday,6
Elizabeth Street,2025-06-27 23:00:00+00:00,23,23,Friday,5
Bridge Street,2025-06-27 23:00:00+00:00,213,23,Friday,5
Park Street,2025-06-27 23:00:00+00:00,939,23,Friday,5
Market Street,2025-06-27 23:00:00+00:00,213,23,Friday,5
Market Street,2025-06-27 22:00:00+00:00,389,22,Friday,5
Elizabeth Street,2025-06-27 22:00:00+00:00,40,22,Friday,5
Bridge Street,2025-06-27 22:00:00+00:00,258,22,Friday,5
Park Street,2025-06-27 22:00:00+00:00,1421,22,Friday,5
Park Street,2025-06-22 01:00:00+00:00,898,1,Sunday,0
Market Street,2025-06-22 01:00:00+00:00,36,1,Sunday,0
Elizabeth Street,2025-06-22 01:00:00+00:00,9,1,Sunday,0
Bridge Street,2025-06-22 01:00:00+00:00,78,1,Sunday,0
Elizabeth Street,2025-06-22 00:00:00+00:00,12,0,Sunday,0
