year,day,period,count
2022,Friday,12am - < 6am,33
2022,Friday,12pm - < 6pm,37
2022,Friday,6am - < 12pm,35
2022,Friday,6pm - < 12pm,64
2022,Friday,Total,169
2022,Monday,12am - < 6am,35
2022,Monday,12pm - < 6pm,44
2022,Monday,6am - < 12pm,34
2022,Monday,6pm - < 12pm,48
2022,Monday,Total,161
2022,Saturday,12am - < 6am,70
2022,Saturday,12pm - < 6pm,38
2022,Saturday,6am - < 12pm,24
2022,Saturday,6pm - < 12pm,84
2022,Saturday,Total,216
2022,Sunday,12am - < 6am,78
2022,Sunday,12pm - < 6pm,39
2022,Sunday,6am - < 12pm,44
2022,Sunday,6pm - < 12pm,69
2022,Sunday,Total,230
2022,Thursday,12am - < 6am,21
2022,Thursday,12pm - < 6pm,43
2022,Thursday,6am - < 12pm,27
2022,Thursday,6pm - < 12pm,53
2022,Thursday,Total,144
2022,Total,12am - < 6am,300
2022,Total,12pm - < 6pm,264
2022,Total,6am - < 12pm,219
2022,Total,6pm - < 12pm,427
2022,Total,Total,1210
2022,Tuesday,12am - < 6am,31
2022,Tuesday,12pm - < 6pm,26
2022,Tuesday,6am - < 12pm,29
2022,Tuesday,6pm - < 12pm,52
2022,Tuesday,Total,138
2022,Wednesday,12am - < 6am,32
2022,Wednesday,12pm - < 6pm,37
2022,Wednesday,6am - < 12pm,26
2022,Wednesday,6pm - < 12pm,57
2022,Wednesday,Total,152
2023,Friday,12am - < 6am,36
2023,Friday,12pm - < 6pm,40
2023,Friday,6am - < 12pm,27
2023,Friday,6pm - < 12pm,76
2023,Friday,Total,179
2023,Monday,12am - < 6am,53
2023,Monday,12pm - < 6pm,39
2023,Monday,6am - < 12pm,32
2023,Monday,6pm - < 12pm,50
2023,Monday,Total,174
2023,Saturday,12am - < 6am,55
2023,Saturday,12pm - < 6pm,48
2023,Saturday,6am - < 12pm,29
2023,Saturday,6pm - < 12pm,73
2023,Saturday,Total,205
2023,Sunday,12am - < 6am,69
2023,Sunday,12pm - < 6pm,68
2023,Sunday,6am - < 12pm,43
2023,Sunday,6pm - < 12pm,66
2023,Sunday,Total,246
2023,Thursday,12am - < 6am,31
2023,Thursday,12pm - < 6pm,35
2023,Thursday,6am - < 12pm,24
2023,Thursday,6pm - < 12pm,58
2023,Thursday,Total,148
2023,Total,12am - < 6am,305
2023,Total,12pm - < 6pm,316
2023,Total,6am - < 12pm,206
2023,Total,6pm - < 12pm,422
2023,Total,Total,1249
2023,Tuesday,12am - < 6am,40
2023,Tuesday,12pm - < 6pm,38
2023,Tuesday,6am - < 12pm,24
2023,Tuesday,6pm - < 12pm,54
2023,Tuesday,Total,156
2023,Wednesday,12am - < 6am,21
2023,Wednesday,12pm - < 6pm,48
2023,Wednesday,6am - < 12pm,27
2023,Wednesday,6pm - < 12pm,45
2023,Wednesday,Total,141
2024,Friday,12am - < 6am,42
2024,Friday,12pm - < 6pm,29
2024,Friday,6am - < 12pm,28
2024,Friday,6pm - < 12pm,85
2024,Friday,Total,184
2024,Monday,12am - < 6am,44
2024,Monday,12pm - < 6pm,38
2024,Monday,6am - < 12pm,22
2024,Monday,6pm - < 12pm,63
2024,Monday,Total,167
2024,Saturday,12am - < 6am,60
2024,Saturday,12pm - < 6pm,38
2024,Saturday,6am - < 12pm,30
2024,Saturday,6pm - < 12pm,84
2024,Saturday,Total,212
2024,Sunday,12am - < 6am,85
2024,Sunday,12pm - < 6pm,47
2024,Sunday,6am - < 12pm,42
2024,Sunday,6pm - < 12pm,59
2024,Sunday,Total,233
2024,Thursday,12am - < 6am,49
2024,Thursday,12pm - < 6pm,22
2024,Thursday,6am - < 12pm,25
2024,Thursday,6pm - < 12pm,55
2024,Thursday,Total,151
2024,Total,12am - < 6am,333
2024,Total,12pm - < 6pm,235
2024,Total,6am - < 12pm,197
2024,Total,6pm - < 12pm,437
2024,Total,Total,1202
2024,Tuesday,12am - < 6am,25
2024,Tuesday,12pm - < 6pm,38
2024,Tuesday,6am - < 12pm,28
2024,Tuesday,6pm - < 12pm,45
2024,Tuesday,Total,136
2024,Wednesday,12am - < 6am,28
2024,Wednesday,12pm - < 6pm,23
2024,Wednesday,6am - < 12pm,22
2024,Wednesday,6pm - < 12pm,46
2024,Wednesday,Total,119
