,Licence number,Licence type,Start date,Status,Status date,Trading Status,Licence name,Address,Suburb,Postcode,Latitude,Longitude,LGA,Precinct,Region,Licensee,Business type,Authorisation restriction name,Extended trading,Reduced trading,Primary service,Right to keep gaming,Unrestricted,To 12am,To 3am,To 5am,SA2,Subject to Cap,Band,GMEs,PMPs,Auth limit,Unfulfilled Quota,GMT,EGMs
2156,LIQH440019029,Liquor - hotel licence,2020-11-24 00:00:00,Current,2020-11-24 00:00:00,Trading,The Porter House Hotel Sydney - MGallery,Corner 116 Bathurst Street,SYDNEY,2000.0,-33.874303,151.208756,Sydney,Sydney CBD Precinct,Metropolitan,UNITED DEVELOPMENT SYDNEY PTY LTD,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,No,Sydney - Haymarket - The Rocks,No,2,0,0,0,0,0,0
4614,LIQH440018988,Liquor - hotel licence,2017-08-18 00:00:00,Current,2017-08-18 00:00:00,Trading,Sofitel Sydney Darling Harbour,12 Darling Drive,SYDNEY,2000.0,-33.872658,151.198625,Sydney,,Metropolitan,Darling Harbour Hotel Pty Ltd,Full hotel,"Extended trading authorisation,Minors area authorisation,Residents bar authorisation,Right to keep g",Yes,No,No,Yes,No,Yes,Yes,No,Sydney - Haymarket - The Rocks,No,2,0,0,0,0,0,0
9205,LIQH440010015,Liquor - hotel licence,2008-12-18 00:00:00,Current,2009-05-11 00:00:00,Trading,Scary Canary,469-475 Kent Street,SYDNEY,2000.0,-33.873062,151.20491,Sydney,Sydney CBD Precinct,Metropolitan,Thomas Cooney,Full hotel,"Extended trading authorisation,Minors area authorisation,Reduced trading hours,Right to keep gaming ",Yes,Yes,No,Yes,No,Yes,Yes,No,Sydney - Haymarket - The Rocks,No,2,0,0,0,0,0,0
10483,LIQH424012737,Liquor - hotel licence,2004-05-14 00:00:00,Current,2004-05-14 00:00:00,Trading,Sofitel Sydney Wentworth,61-101 Phillip St,SYDNEY,2000.0,-33.865373,151.210812,Sydney,Sydney CBD Precinct,Metropolitan,ANANKE HOLDINGS PTY LTD,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,0,0,0,0,0,0
11119,LIQH424009187,Liquor - hotel licence,2001-08-31 00:00:00,Current,2020-10-21 00:00:00,Trading,Barrio Cellar,Part Basement 53 Martin Pl,SYDNEY,2000.0,-33.868008,151.210901,Sydney,Sydney CBD Precinct,Metropolitan,BARRIO CELLAR PTY LTD,Full hotel,"Extended trading authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,0,0,0,0,0,0
11439,LIQH424008188,Liquor - hotel licence,2000-04-13 00:00:00,Current,2000-04-13 00:00:00,Trading,Shelbourne Hotel,200 Sussex Street,SYDNEY,2000.0,-33.871237,151.204102,Sydney,Sydney CBD Precinct,Metropolitan,Jason Powell,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,15,0,15,0,15,15
11461,LIQH424008103,Liquor - hotel licence,2000-03-07 00:00:00,Current,2000-03-07 00:00:00,Trading,Amora Hotel Jamison Sydney,11-19 Jamison St,SYDNEY,2000.0,-33.864558,151.206305,Sydney,Sydney CBD Precinct,Metropolitan,Abhishek Sinha,Full hotel,"Extended trading authorisation,Minors area authorisation,Minors functions authorisation,Right to kee",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,0,0,0,0,0,0
11522,LIQH424007933,Liquor - hotel licence,1999-12-06 00:00:00,Current,1999-12-06 00:00:00,Trading,Swissotel Sydney on Market Street,L 8-25 68 Market St,SYDNEY,2000.0,-33.870627,151.207529,Sydney,Sydney CBD Precinct,Metropolitan,David Ross,Full hotel,"Extended trading authorisation,Minors functions authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,0,0,0,0,0,0
11607,LIQH424007684,Liquor - hotel licence,1999-08-23 00:00:00,Current,1999-08-23 00:00:00,Trading,The Fullerton Hotel Sydney,1 Martin Pl,SYDNEY,2000.0,-33.867792,151.207748,Sydney,Sydney CBD Precinct,Metropolitan,Andrew Adams,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,0,0,0,0,0,0
11684,LIQH424007367,Liquor - hotel licence,1999-02-22 00:00:00,Current,1999-02-22 00:00:00,Trading,Pullman Quay Grand Sydney Harbour,61-69 Macquarie St,SYDNEY,2000.0,-33.860834,151.212908,Sydney,Sydney CBD Precinct,Metropolitan,Steven Savic,Full hotel,"Extended trading authorisation,Minors area authorisation,Minors functions authorisation,Right to kee",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2,0,0,0,0,0,0
