,Licence number,Licence type,Start date,Status,Status date,Trading Status,Licence name,Address,Suburb,Postcode,Latitude,Longitude,LGA,Precinct,Region,Licensee,Licensee Type,Licensee ABN,Licensee ACN,Business type,Authorisation restriction name,Extended trading,Reduced trading,Primary service,Right to keep gaming,Unrestricted,To 12am,To 3am,To 5am,SA2,Band,GMEs,PMPs,Auth limit,Unfulfilled Quota,GMT,EGMs
1062,LIQH440019062,Liquor - hotel licence,2023-05-11 00:00:00,Current,2023-05-11 00:00:00,Trading,Sporting Globe King Street Wharf Pty Ltd,"Ground Floor, Retail Tenancy, King Street Wharf ",SYDNEY,2000,-33.866987,151.201723,Sydney,Sydney CBD Precinct,Metropolitan,SPORTING GLOBE KING STREET WHARF PTY LTD,Organisation,,,Full hotel,"Extended trading authorisation,Minors area authorisation,Reduced trading hours,Right to keep gaming machines",Yes,Yes,No,Yes,No,Yes,Yes,No,Sydney (North) - Millers Point,1.0,0,0,0,0,0,0
3346,LIQH440019029,Liquor - hotel licence,2020-11-24 00:00:00,Current,2020-11-24 00:00:00,Trading,The Porter House Hotel Sydney - MGallery,Corner 116 Bathurst Street & 203 Castlereagh Street,SYDNEY,2000,-33.874303,151.208756,Sydney,Sydney CBD Precinct,Metropolitan,PORTER HOUSE HOTEL MANAGEMENT PTY LTD,Organisation,,670207477.0,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,No,Sydney (North) - Millers Point,1.0,0,0,0,0,0,0
5655,LIQH440018988,Liquor - hotel licence,2017-08-18 00:00:00,Current,2017-08-18 00:00:00,Trading,Sofitel Sydney Darling Harbour,12 Darling Drive ,SYDNEY,2000,-33.872658,151.198625,Sydney,,Metropolitan,Darling Harbour Hotel Pty Ltd,Organisation,,169745251.0,Full hotel,"Extended trading authorisation,Minors area authorisation,Reduced trading hours,Residents bar authorisation,Right to keep gaming machines",Yes,Yes,No,Yes,No,Yes,Yes,No,Sydney (South) - Haymarket,3.0,0,0,0,0,0,0
9965,LIQH440010015,Liquor - hotel licence,2008-12-18 00:00:00,Current,2009-05-11 00:00:00,Trading,Scary Canary,469-475 Kent Street ,SYDNEY,2000,-33.873062,151.20491,Sydney,Sydney CBD Precinct,Metropolitan,Thomas Cooney,PERSON,,,Full hotel,"Extended trading authorisation,Minors area authorisation,Reduced trading hours,Right to keep gaming machines",Yes,Yes,No,Yes,No,Yes,Yes,No,Sydney (North) - Millers Point,1.0,0,0,0,0,0,0
11196,LIQH424012737,Liquor - hotel licence,2004-05-14 00:00:00,Current,2004-05-14 00:00:00,Trading,Sofitel Sydney Wentworth,61-101 Phillip St ,SYDNEY,2000,-33.865373,151.210812,Sydney,Sydney CBD Precinct,Metropolitan,ANANKE HOLDINGS PTY LTD,Organisation,,143992778.0,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney (North) - Millers Point,1.0,0,0,0,0,0,0
11812,LIQH424009187,Liquor - hotel licence,2001-08-31 00:00:00,Current,2020-10-21 00:00:00,Trading,Barrio Cellar,Part Basement 53 Martin Pl ,SYDNEY,2000,-33.868008,151.210901,Sydney,Sydney CBD Precinct,Metropolitan,BARRIO CELLAR PTY LTD,Organisation,,604639661.0,Full hotel,"Extended trading authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney (North) - Millers Point,1.0,0,0,0,0,0,0
12125,LIQH424008188,Liquor - hotel licence,2000-04-13 00:00:00,Current,2000-04-13 00:00:00,Trading,Shelbourne Hotel,200 Sussex Street ,SYDNEY,2000,-33.871237,151.204102,Sydney,Sydney CBD Precinct,Metropolitan,Jason Powell,PERSON,,,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney (North) - Millers Point,1.0,15,0,15,0,15,15
12145,LIQH424008103,Liquor - hotel licence,2000-03-07 00:00:00,Current,2000-03-07 00:00:00,Trading,Amora Hotel Jamison Sydney,11-19 Jamison St ,SYDNEY,2000,-33.864558,151.206305,Sydney,Sydney CBD Precinct,Metropolitan,Abhishek Sinha,PERSON,,,Full hotel,"Extended trading authorisation,Minors area authorisation,Minors functions authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney (North) - Millers Point,1.0,0,0,0,0,0,0
12208,LIQH424007933,Liquor - hotel licence,1999-12-06 00:00:00,Current,1999-12-06 00:00:00,Trading,Swissotel Sydney on Market Street,L 8-25 68 Market St ,SYDNEY,2000,-33.870627,151.207529,Sydney,Sydney CBD Precinct,Metropolitan,Matthew Talbot,PERSON,,,Full hotel,"Extended trading authorisation,Minors functions authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney (North) - Millers Point,1.0,0,0,0,0,0,0
12277,LIQH424007712,Liquor - hotel licence,1999-09-08 00:00:00,Current,1999-09-08 00:00:00,Trading,GPO Sydney,LG 1 Martin Pl ,SYDNEY,2000,-33.867792,151.207748,Sydney,Sydney CBD Precinct,Metropolitan,MARTIN HERITAGE MANAGEMENT PTY LTD,Organisation,,606912752.0,Full hotel,"Extended trading authorisation,Minors area authorisation,Reduced trading hours,Right to keep gaming machines",Yes,Yes,No,Yes,No,Yes,Yes,Yes,Sydney (North) - Millers Point,1.0,0,0,0,0,0,0
