Licence number,Licence type,Start date,Status,Status date,Trading Status,Licence name,Address,Suburb,Postcode,Latitude,Longitude,LGA,Precinct,Region,Licensee,Business type,Authorisation restriction name,Extended trading,Reduced trading,Primary service,Right to keep gaming,Unrestricted,To 12am,To 3am,To 5am,SA2,Subject to Cap,Band,GMEs,PMPs,Auth limit,Unfulfilled Quota,GMT,EGMs,Year,Licensee ABN,Licensee ACN,Licensee Type
LIQH440019039,Liquor - hotel licence,2021-08-20 00:00:00,Current,2021-08-20 00:00:00,Trading,Ace Hotel Sydney,47-53 Wentworth Avenue,SURRY HILLS,2010.0,-33.878795,151.20999,Sydney,Sydney CBD Precinct,Metropolitan,The Trustee for GA Wentworth Ave Unit Trust,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,Yes,Sydney - Haymarket - The Rocks,No,2.0,0,0,0,0,0,0,2022,,,
LIQH440019029,Liquor - hotel licence,2020-11-24 00:00:00,Current,2020-11-24 00:00:00,Trading,The Porter House Hotel Sydney - MGallery,Corner 116 Bathurst Street,SYDNEY,2000.0,-33.874303,151.208756,Sydney,Sydney CBD Precinct,Metropolitan,UNITED DEVELOPMENT SYDNEY PTY LTD,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,No,Sydney - Haymarket - The Rocks,No,2.0,0,0,0,0,0,0,2022,,,
LIQH440019005,Liquor - hotel licence,2018-10-24 00:00:00,Current,2018-10-28 00:00:00,Trading,The Marsden Brewhouse,1 Hawthorne Avenue,MARSDEN PARK,2765.0,-33.71303,150.841465,Blacktown,,Metropolitan,Jonathon Smith,Full hotel,"Extended trading authorisation,Minors area authorisation,Minors functions authorisation,Right to kee",Yes,No,No,Yes,No,Yes,Yes,No,Riverstone - Marsden Park,No,1.0,4,21,25,0,25,25,2022,,,
LIQH440018996,Liquor - hotel licence,2018-05-31 00:00:00,Current,2018-05-31 00:00:00,Trading,The Locker Room Hotel,Corner of Olympic Boulevard and the Yulang,SYDNEY OLYMPIC PARK,2127.0,-33.847007,151.066547,Parramatta,,Metropolitan,Nigel GALLAGHER,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,No,Homebush Bay - Silverwater,No,1.0,20,0,20,0,20,20,2022,,,
LIQH440018995,Liquor - hotel licence,2018-05-17 00:00:00,Current,2021-06-29 00:00:00,Trading,Mullane's,Units 12 & 13 34-36 Brookhollow Avenue,BAULKHAM HILLS,2153.0,-33.733254,150.965955,The Hills Shire,,Metropolitan,Madison Laird,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,No,Baulkham Hills (West) - Bella Vista,No,1.0,30,0,30,0,30,30,2022,,,
LIQH440018994,Liquor - hotel licence,2018-04-23 00:00:00,Current,2018-04-23 00:00:00,Trading,Four Points by Sheraton Sydney Central Park,Block 4N 88 Broadway Street,CHIPPENDALE,2008.0,-33.884886,151.199063,Sydney,,Metropolitan,FPSS HOTEL OPERATIONS PTY LTD,Full hotel,"Extended trading authorisation,Minors area authorisation,Right to keep gaming machines",Yes,No,No,Yes,No,Yes,Yes,No,Redfern - Chippendale,No,2.0,0,0,0,0,0,0,2022,,,
LIQH440018989,Liquor - hotel licence,2017-09-11 00:00:00,Current,2017-09-11 00:00:00,Trading,The Governor,9-13 Waterloo Rd,MACQUARIE PARK,2113.0,-33.787767,151.13272,Ryde,,Metropolitan,Christopher Mullarkey,Full hotel,"Extended trading authorisation,Minors area authorisation,Reduced trading hours,Right to keep gaming ",Yes,Yes,No,Yes,No,Yes,Yes,No,Macquarie Park - Marsfield,No,1.0,30,0,30,0,30,30,2022,,,
LIQH440018988,Liquor - hotel licence,2017-08-18 00:00:00,Current,2017-08-18 00:00:00,Trading,Sofitel Sydney Darling Harbour,12 Darling Drive,SYDNEY,2000.0,-33.872658,151.198625,Sydney,,Metropolitan,Darling Harbour Hotel Pty Ltd,Full hotel,"Extended trading authorisation,Minors area authorisation,Residents bar authorisation,Right to keep g",Yes,No,No,Yes,No,Yes,Yes,No,Sydney - Haymarket - The Rocks,No,2.0,0,0,0,0,0,0,2022,,,
LIQH440018965,Liquor - hotel licence,2015-04-28 00:00:00,Current,2015-04-29 00:00:00,Trading,The Prince Kirrawee,531-541 Princes Highway,KIRRAWEE,2232.0,-34.031653,151.075696,Sutherland Shire,,Metropolitan,Edward Whitlam,Full hotel,"Extended trading authorisation,Minors area authorisation,Reduced trading hours,Right to keep gaming ",Yes,Yes,No,Yes,No,Yes,Yes,No,Sutherland - Kirrawee,No,1.0,24,0,24,0,24,24,2022,,,
LIQH440010073,Liquor - hotel licence,2011-09-15 00:00:00,Current,2021-06-27 00:00:00,Trading,Appetito Pizzerie & Bar,100 George St,THE ROCKS,2000.0,-33.858219,151.20939,Sydney,Sydney CBD Precinct,Metropolitan,BAR 100 PTY LTD,Full hotel,"Extended trading authorisation,Minors area authorisation,Reduced trading hours,Right to keep gaming ",Yes,Yes,No,Yes,No,Yes,Yes,No,Sydney - Haymarket - The Rocks,No,2.0,0,0,0,0,0,0,2022,,,
